id,title,description,status,create_user_id,updated_user_id,deleted_user_id,deleted-at,updated_at,created_at
17,oo,o0o,1,1,1,,2023/01/01,2023/02/16,2023/02/16
18,6oo9,8888,1,1,1,,2023/01/01,2023/02/16,2023/02/16
20,Hello,Heool,1,1,1,,2023/01/01,2023/02/16,2023/02/16
21,"Hello user 8","this is the description",1,1,1,,2023/01/01,2023/02/20,2023/02/20
23,dfghjkl,asdfghjkl,1,1,1,,2023/01/01,2023/02/20,2023/02/20
24,trr,rtt,0,8,8,,2023/01/01,2023/02/22,2023/02/20
41,"title 1",description1,0,1,1,,2023/01/01,2023/02/21,2023/02/21
42,title2,description2,1,1,1,,2023/01/01,2023/02/21,2023/02/21
43,title3,description3,0,1,1,,2023/01/01,2023/02/21,2023/02/21
72,"title 4",description1,0,8,8,,2023/01/01,2023/02/22,2023/02/22
73,title5,description2,1,8,8,,2023/01/01,2023/02/22,2023/02/22
74,"title6 update",description3,1,8,1,,2023/01/01,2023/02/22,2023/02/22
